Marca,Produto,Valor,Vigencia,Nome_folheto
ORIGENS BIO,LEITE DE COCO,"5,98€/L2,39 €2,99 €",6-junho-2023 até 12-junho-2023,semanal-s24-gs27.pdf
ORIGENS BIO,SAL DOS HIMALAIAS,,6-junho-2023 até 12-junho-2023,semanal-s24-gs27.pdf
